airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-05-15,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,11281
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,08:15:00,920,1.0,No Info,26890
Indigo,2019-03-24,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,8033
Air India,2019-04-21,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4880
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,20:45:00,1485,1.0,In-flight meal not included,10844
Spicejet,2019-06-06,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Jet Airways,2019-05-09,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,12373
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,08:15:00,1430,1.0,In-flight meal not included,9663
Indigo,2019-05-12,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Jet Airways,2019-05-03,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5198
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No Info,15129
Indigo,2019-06-24,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6442
Spicejet,2019-05-24,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,15:30:00,390,1.0,In-flight meal not included,15136
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,In-flight meal not included,8586
Indigo,2019-05-18,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6015
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,In-flight meal not included,9663
Spicejet,2019-03-24,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No Info,2227
Spicejet,2019-06-12,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Jet Airways,2019-06-06,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,10844
Indigo,2019-06-09,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Indigo,2019-03-06,Delhi,Cochin,16:10:00,22:20:00,370,1.0,No Info,7205
Indigo,2019-05-03,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2437
Indigo,2019-04-03,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Spicejet,2019-04-21,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,4174
Indigo,2019-05-01,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-06-24,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Multiple Carriers,2019-06-06,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Indigo,2019-04-27,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6171
Multiple Carriers,2019-06-27,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,7155
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,In-flight meal not included,10844
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No Info,7927
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,19:50:00,1430,1.0,In-flight meal not included,10844
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,9899
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,16:20:00,1150,1.0,In-flight meal not included,10844
Air India,2019-06-09,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Indigo,2019-06-24,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,08:15:00,1430,1.0,In-flight meal not included,8586
Air India,2019-03-06,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,14641
Spicejet,2019-06-01,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3625
Indigo,2019-04-03,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,16:20:00,1575,1.0,In-flight meal not included,10844
Jet Airways,2019-06-03,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,13014
Indigo,2019-05-21,Delhi,Cochin,11:55:00,00:55:00,780,1.0,No Info,6282
Spicejet,2019-03-24,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,6461
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,11:25:00,1110,1.0,No Info,17261
Multiple Carriers,2019-04-09,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,6106
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,8452
Indigo,2019-06-12,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
